Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
080878044481,Pantene,HEALTH & BEAUTY,2.22,2.51,7.99,9.03,-5.77,price landed on the wrong product
073096500273,Panasonic AAA4,HEALTH & BEAUTY,2.49,2.81,2.99,3.38,-0.50,price landed on the wrong product
073096500235,Panasonic AA4,HEALTH & BEAUTY,1.55,1.75,2.99,3.38,-1.44,price landed on the wrong product
035000463036,PAMOLIVE 828UNI,HEALTH & BEAUTY,1.55,1.75,3.99,4.51,-2.44,price landed on the wrong product
069000013830,Pepsi zero,DRINKS,11.73,13.25,2.99,3.38,8.74,price landed on the wrong product
069000010662,Pepsi Diet 710 ml,DRINKS,12.83,14.50,3.00,3.39,9.83,price landed on the wrong product
667888590582,Peelrrz,"CANDY,GUMS & CHOCOLATES",12.83,14.50,3.49,3.94,9.34,price landed on the wrong product
850079218710,Peel Pop,"CANDY,GUMS & CHOCOLATES",7.00,7.91,2.99,3.38,4.01,price landed on the wrong product
850079218673,Peel Pop,"CANDY,GUMS & CHOCOLATES",3.00,3.39,2.99,3.38,0.01,price landed on the wrong product
850079218666,Peel pop,"CANDY,GUMS & CHOCOLATES",3.49,3.94,2.99,3.38,0.50,price landed on the wrong product
2437606766407,Peach Tea Peach,bevrages,2.99,3.38,1.99,2.25,1.00,price landed on the wrong product
06787303,PEACE TEA SNO BERRY,DRINKS,2.99,3.38,1.99,2.25,1.00,price landed on the wrong product
06766504,PEACE TEA RASPBERRY,DRINKS,2.99,3.38,1.99,2.25,1.00,price landed on the wrong product
06766407,PEACE TEA PEACH,DRINKS,2.99,3.38,1.99,2.25,1.00,price landed on the wrong product
060383125189,PC Club soda,GROCERY,1.99,2.25,3.99,4.51,-2.00,price landed on the wrong product
24543,Patty Combo,FOOD ITMES,1.99,2.25,3.10,3.50,-1.11,price landed on the wrong product
24542,Patty,FOOD ITMES,1.99,2.25,2.22,2.51,-0.23,price landed on the wrong product
06797231,PASSION FLAKIE,BAKERY,1.99,2.25,2.49,2.81,-0.50,price landed on the wrong product
05506208,parlour Pop Mango,Ice cream,3.99,4.51,1.55,1.75,2.44,price landed on the wrong product
806712309116,Pur-est Cotton swab,HEALTH & BEAUTY,6.50,7.35,2.50,2.83,4.00,price landed on the wrong product
064100159433,Pringles Spicy hot pot,CHIPS & SNACKS,6.50,7.35,4.99,5.64,1.51,price landed on the wrong product
064100111356,PRINGLES SOUR CREAM& ONION,CHIPS & SNACKS,3.99,4.51,4.99,5.64,-1.00,price landed on the wrong product
064100159372,Pringles Sauce chilly,CHIPS & SNACKS,3.99,4.51,4.99,5.64,-1.00,price landed on the wrong product
064100111417,PRINGLES SALT & VINEGAR,CHIPS & SNACKS,2.50,2.83,4.99,5.64,-2.49,price landed on the wrong product
064100852617,Pringles Origianl 67g,CHIPS & SNACKS,4.99,5.64,2.66,3.01,2.33,price landed on the wrong product
064100150546,PRINGLES HOT ONES 156G,CHIPS,4.99,5.64,3.99,4.51,1.00,price landed on the wrong product
064100119352,Pringles BBQ 68g,CHIPS,4.99,5.64,2.66,3.01,2.33,price landed on the wrong product
064100111370,PRINGLES BBQ,CHIPS & SNACKS,2.66,3.01,4.99,5.64,-2.33,price landed on the wrong product
06748702,POWER ADE ORANGE,DRINKS,3.31,3.74,2.99,3.38,0.32,price landed on the wrong product
06748809,POWER ADE MELON PINEAPPLE,DRINKS,3.49,3.94,2.99,3.38,0.50,price landed on the wrong product
06748605,POWER ADE FRUIT PUNCH,DRINKS,5.00,5.65,3.49,3.94,1.51,price landed on the wrong product
055000600460,POPSICLE LIFE SAVER,ICE CREAMS,2.99,3.38,2.79,3.15,0.20,price landed on the wrong product
180009000024,POP SHOP LIME,DRINKS,3.49,3.94,2.22,2.51,1.27,price landed on the wrong product
180009000031,POP SHOP CREAM SODA,DRINKS,2.99,3.38,2.22,2.51,0.77,price landed on the wrong product
