Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
Smart food,Smart food,0.00,6.09,13.00,CHIPS & SNACKS
SMARTFOOD MOVIE NIGHT BUTTER,SMARTFOOD MOVIE NIGHT BUTTER,0.00,6.22,13.00,CHIPS & SNACKS
Smartfood White Cheddar 45g,Smartfood White Cheddar 45g,0.00,2.70,13.00,CHIPS & SNACKS
Sour cream & BaconCHIPS & SNACKS,Sour cream & BaconCHIPS & SNACKS,0.00,6.09,13.00,CHIPS & SNACKS
Sour cream & Onion CHIPS & SNACKS,Sour cream & Onion CHIPS & SNACKS,3.17,6.22,13.00,CHIPS & SNACKS
sour cream and onion small,sour cream and onion small,0.00,2.70,13.00,CHIPS & SNACKS
TAKIES BLUE HEAT,TAKIES BLUE HEAT,0.00,4.51,13.00,CHIPS & SNACKS
Takis int. nacho,Takis int. nacho,0.00,4.51,13.00,CHIPS & SNACKS
Uncle Rays BBQ CHIPS & SNACKS 130g,Uncle Rays BBQ CHIPS & SNACKS 130g,0.00,2.83,13.00,CHIPS & SNACKS
Uncle Rays potato CHIPS & SNACKS 130g,Uncle Rays potato CHIPS & SNACKS 130g,0.00,2.83,13.00,CHIPS & SNACKS
Uncle Rays Ripple 130g,Uncle Rays Ripple 130g,0.00,2.83,13.00,CHIPS & SNACKS
big daddy bisc,big daddy bisc,0.00,3.11,13.00,COOKIES
La Petite Danish,La Petite Danish,0.00,2.83,13.00,COOKIES
Coffee Cream 1L,Coffee Cream 1L,0.00,4.99,0.00,DAIRY PRODUCTS
NESTLE BUTTERSCOTH SUNDAE,NESTLE BUTTERSCOTH SUNDAE,0.00,7.50,0.00,DAIRY PRODUCTS
Nestle Parlour French Vanille,Nestle Parlour French Vanille,0.00,7.50,0.00,DAIRY PRODUCTS
Nestle Parlour Vanilla,Nestle Parlour Vanilla,0.00,7.50,0.00,DAIRY PRODUCTS
sealtest 2%,sealtest 2%,0.00,3.99,0.00,DAIRY PRODUCTS
20 INCH FOIL,ALCAN,0.00,4.51,13.00,DAIRY PRODUCTS TAXABLE
SEALTEST 3.25% 1L,SEALTEST 3.25% 1L,0.00,4.51,13.00,DAIRY PRODUCTS TAXABLE
"SEALTEST CANDY,GUMS & CHOCOLATES MILK 47","SEALTEST CANDY,GUMS & CHOCOLATES MILK 473UNI",0.00,2.25,13.00,DAIRY PRODUCTS TAXABLE
Pabst,Pabst,0.00,2.91,13.00,DELI
Bubly Blueberry,Blue Berry,0.00,3.38,13.00,DRINK/SLUSHY
Bubly Cherry,Bubly Cherry,0.00,3.38,13.00,DRINK/SLUSHY
PREMIER PROTEIN VANILLA 325ML,PREMIER PROTEIN VANILLA 325ML,0.00,3.74,13.00,DRINK/SLUSHY
06215718,06215718,0.00,5.02,13.00,DRINKS
0ASIS APPLE 300 ML,0ASIS APPLE 300 ML,0.00,2.00,13.00,DRINKS
7up zero sugar,7up zero sugar,0.00,4.51,13.00,DRINKS
Air heads soda Watermelon,Air heads soda Watermelon,0.00,3.11,13.00,DRINKS
Air heads strawberry,Air heads strawberry,0.00,3.11,13.00,DRINKS
allens apple juice,allens apple juice,0.00,4.51,13.00,DRINKS
Aloa Vera Visvita,Aloa Vera Visvita,0.00,3.74,13.00,DRINKS
Aloe Vera Mango,Aloe Vera Mango,2.99,3.74,13.00,DRINKS
Aloevera mango,Aloevera mango,0.00,3.74,13.00,DRINKS
ALOEVERA ORIGINAL,ALOEVERA ORIGINAL,0.00,3.74,13.00,DRINKS
ARIZONA CHERRY LIME RICKEY,ARIZONA CHERRY LIME RICKEY,0.00,2.75,13.00,DRINKS
ARIZONA CUCUMBER 680ML,ARIZONA CUCUMBER 680ML,0.00,3.01,13.00,DRINKS
ARIZONA FRT PUNCH 680UNI,ARIZONA FRT PUNCH 680UNI,0.00,2.75,13.00,DRINKS
ARIZONA GREEN TEA-,ARIZONA GREEN TEA-,0.00,3.74,13.00,DRINKS
ARIZONA ICE TEA WITH RASPBERRY,ARIZONA ICE TEA WITH RASPBERRY,0.00,3.01,13.00,DRINKS
ARIZONA ICED TEA WITH LEMON,ARIZONA ICED TEA WITH LEMON,0.00,3.01,13.00,DRINKS
ARIZONA MUCHO MANGO,ARIZONA MUCHO MANGO,0.00,2.75,13.00,DRINKS
ARIZONA PEACH,ARIZONA PEACH,0.00,3.38,13.00,DRINKS
Arizona Rizzler berry,Arizona Rizzler berry,0.00,2.99,13.00,DRINKS
ARIZONA WATERMELON 680UNI,ARIZONA WATERMELON 680UNI,0.00,3.01,13.00,DRINKS
Arizone Tropicsl chillzikle,Arizone Tropicsl chillzikle,0.00,3.74,13.00,DRINKS
ARTIC VIBE,ARTIC VIBE,4.99,5.64,13.00,DRINKS
BRISK 2LT,BRISK 2LT,1.96,4.51,13.00,DRINKS
Brisk Ice Tea,Brisk Ice Tea,0.00,3.38,13.00,DRINKS
Brust Protien Coffee,Brust Protien Coffee,0.00,3.62,13.00,DRINKS
Bubly Cherry,Bubly Cherry,0.00,1.85,13.00,DRINKS
Bubly Grapefruit,Bubly Grapefruit,0.00,3.38,13.00,DRINKS
Bubly Lime,Bubly Lime,0.00,3.38,13.00,DRINKS
BUBLY MANGO,BUBLY,0.00,1.85,13.00,DRINKS
Bubly Peach,Bubly Peach,0.00,1.70,13.00,DRINKS
Bubly Peach Sparkling Water 355ML,Bubly Peach Sparkling Water 355ML,0.00,1.85,13.00,DRINKS
